OptionType,DeltaBucket,TimeBucket,OptionFrequency,Count,MeanElasticity,MedianElasticity,StdElasticity,MinElasticity,MaxElasticity,Q25Elasticity,Q75Elasticity,CoeffVariation
CALL,0.01-0.05,0-7 days,monthly,3038,176.86467787018333,164.6078807155028,55.046922924554885,117.30997300593529,380.9375408706169,137.79056179299215,190.4097139538325,0.31123751552561957
CALL,0.01-0.05,15-30 days,monthly,9376,71.19874911139777,69.52626352697163,8.490673991834274,57.36212258182259,96.14912403796146,65.54989826167237,74.75031106234515,0.11925313432894363
CALL,0.01-0.05,31-60 days,monthly,47139,53.18281244884027,52.653429787877776,5.680356342370727,41.2296168069205,69.55591808749377,48.73878603934009,56.83772794549014,0.10680812241426686
CALL,0.01-0.05,61-90 days,monthly,11896,41.25308192119961,40.74379269628048,2.9753489164423605,34.955124628669864,48.41218985794735,39.43552535451862,43.10369375960778,0.07212428206275066
CALL,0.01-0.05,8-14 days,monthly,6240,105.49555924937118,105.2727733193602,11.516901255591808,81.1739313041483,134.64871674599732,96.26828087631245,113.17519872947048,0.10916953602158809
CALL,0.05-0.10,0-7 days,monthly,1755,188.280201390803,151.46075068239676,79.81238179992589,103.64838633676898,308.54561668053805,110.77717795880085,288.7051714045607,0.42390214802385756
CALL,0.05-0.10,15-30 days,monthly,5502,60.574427248581344,58.66901872524751,6.600025358646412,50.688446137226684,78.19672311678043,56.325407758239514,62.78349099604286,0.10895728871792155
CALL,0.05-0.10,31-60 days,monthly,28097,44.48678398068725,43.61569804506491,4.379799914273365,36.61550773106152,56.54466069079136,40.96122830404347,47.72727169236778,0.09845170907779574
CALL,0.05-0.10,61-90 days,monthly,5864,34.8959723494273,34.95811327683396,1.936768377916625,30.783733798308734,39.40100293437167,33.34692567390082,36.77986486729853,0.05550120107051295
CALL,0.05-0.10,8-14 days,monthly,3197,88.91355390411117,88.0632331077538,8.891820203897371,72.28649549498775,109.28252409717037,80.32220051829508,96.40916676469614,0.10000522770113042
CALL,0.10-0.20,0-7 days,monthly,1681,134.00693320856328,133.04703344538427,40.22752740385937,88.05255266048759,272.41366954204784,96.33084020874593,155.70976352814995,0.30018989645297517
CALL,0.10-0.20,15-30 days,monthly,5995,52.06381002384672,50.369059308800374,5.744715603973767,43.17021944227625,69.02541042672102,48.782792885200244,54.148724657245616,0.11033990023670036
CALL,0.10-0.20,31-60 days,monthly,33662,38.33052046714613,37.73950507155961,4.091019172054332,31.066768297072826,49.99206346794239,34.988909153397515,41.076104947526545,0.106730071029451
CALL,0.10-0.20,61-90 days,monthly,9235,30.432178578592264,30.447591978797966,2.012830818678445,26.357236373294732,35.17665556252598,28.897145988856707,31.540798581932187,0.06614152889121075
CALL,0.10-0.20,8-14 days,monthly,3653,77.36329489677648,77.20489627135393,7.979182032398343,61.53486060683515,96.41224115363427,71.34264557083307,84.88954804136651,0.10313911840291609
CALL,0.20-0.30,0-7 days,monthly,1709,117.29638604315804,112.84218262746543,38.091740631902795,77.59542715717703,230.6380324288585,83.33276159808054,125.32109667913343,0.3247477771215161
CALL,0.20-0.30,15-30 days,monthly,4183,45.334363448648965,44.95993278233326,4.983263874409365,38.00508793262686,58.72654989947178,41.857426694283575,46.37335926731641,0.109922440623965
CALL,0.20-0.30,31-60 days,monthly,23615,33.316196221079544,32.75554653677423,3.4815431734467586,27.467714275241885,42.504068819951804,30.699809344751365,35.746636867939046,0.10450002006063183
CALL,0.20-0.30,61-90 days,monthly,13270,26.26347044500292,26.08216035261269,1.6681519457011242,23.15753286511151,30.187980699900347,24.88394870303507,27.457591886121083,0.06351605166553756
CALL,0.20-0.30,8-14 days,monthly,2756,67.84700337023607,67.03758988988125,7.120580701014886,54.15440180276023,82.1144127460613,61.29057531983937,75.27269053568956,0.10495055562230811
CALL,0.20-0.30,90+ days,monthly,1189,12.609340881867622,12.582460621723815,0.0842943017704422,12.158177776450865,12.797362425767458,12.54961108267433,12.680192513015845,0.006685068042823585
CALL,0.30-0.40,0-7 days,monthly,1498,127.43148183685223,109.10430920875518,53.15865063757285,69.19141496984405,203.46803515582013,72.26930915420044,193.88933907895427,0.41715477110774496
CALL,0.30-0.40,15-30 days,monthly,3931,40.13720774587686,38.760391033795926,4.199367749813198,33.84172463421322,51.66906969806538,37.45717007825391,42.167735753364155,0.10462530867620165
CALL,0.30-0.40,31-60 days,monthly,19203,29.624045696170217,29.13285872800346,2.9108860617253334,24.477939665296336,37.29587043334959,27.338731512926003,31.58220205405094,0.09826092261603726
CALL,0.30-0.40,61-90 days,monthly,12338,23.597097506683095,23.30960885996135,1.5416127475813133,20.662600542699188,26.641783294046736,22.266913411824238,24.86607960749544,0.06533060886597186
CALL,0.30-0.40,8-14 days,monthly,2536,59.90638847354793,59.313038171362464,5.76199568929699,48.26417635251437,72.2200761181539,54.43602660979988,65.52123823720378,0.0961833259543135
CALL,0.40-0.50,0-7 days,monthly,869,91.67828230044196,89.98372774741716,23.336940594092873,61.82830931132624,181.36436670189022,82.43120043845572,97.12236382038262,0.2545525505987842
CALL,0.40-0.50,15-30 days,monthly,3415,35.634805634903344,34.98396900922426,3.6527274862044163,30.327476940566996,46.04804757370769,32.96031781873576,37.08428369088641,0.10250448742806294
CALL,0.40-0.50,31-60 days,monthly,17495,26.409139069875177,25.859463055827213,2.592492140380399,21.95395628907649,33.44148442942538,24.362882629132617,28.25948252932675,0.09816647689729677
CALL,0.40-0.50,61-90 days,monthly,8369,20.87126451340329,20.84649337516857,1.291989864338722,18.51022755698212,23.615024042923775,19.911315636931644,21.916020539709162,0.06190280725487527
CALL,0.40-0.50,8-14 days,monthly,1986,53.0836675848888,52.94950643381473,4.614864556489949,43.17412597301817,64.33073196633288,48.05262101464275,56.99883800660186,0.08693567657340337
CALL,0.50-0.60,0-7 days,monthly,1687,52.76014243379337,58.54063520656123,34.00861217662141,14.740076899775415,161.6149459902623,14.792929106970982,73.63103010487575,0.6445890895631581
CALL,0.50-0.60,15-30 days,monthly,3203,31.99031290344412,31.607243113465962,3.241128858536947,27.08262733922298,41.21875701804591,29.566760146840856,32.39052758033484,0.10131594737193092
CALL,0.50-0.60,31-60 days,monthly,18717,23.55328943879493,23.138564322993084,2.273876547883385,19.624761198769875,29.937798663077817,21.750503353443357,25.230965570345926,0.09654178257318288
CALL,0.50-0.60,61-90 days,monthly,7632,18.66760050521248,18.382621612540433,1.1653296960129824,16.55602420244266,21.152428485815715,17.91400670052599,19.569437573781556,0.062425253619906425
CALL,0.50-0.60,8-14 days,monthly,2179,47.51878385370722,47.42849342700004,4.370068050130381,39.07898142733758,57.636802057685074,43.07660602956919,49.89837014869783,0.09196506509055884
